관리번호,정류장명,경도,위도,관리기관,정류장번호,총 배차건수,정류소 위치
250001192,만천3리,127.77513,37.8761,춘천,1359,9,동면
250001193,산림조합강원본부,127.75365,37.88724,춘천,1002,107,후평1동
250001194,산림조합강원본부,127.75322,37.88699,춘천,1003,106,후평1동
250001195,발산3리,127.74599,37.95911,춘천,1004,7,신북읍
250001196,발산1리,127.7463,37.95331,춘천,1005,7,신북읍
250001197,운전면허시험장,127.75073,37.94753,춘천,1006,11,신북읍
250001198,소양강댐주차장,127.80195,37.93833,춘천,1007,48,신북읍
250001199,직업능력개발센터,127.73946,37.91202,춘천,1008,79,신사우동
250001200,월곡리,127.7982,37.91746,춘천,1009,12,동면
250001201,감정리,127.78678,37.90376,춘천,1010,,동면
250001202,농협강원지역본부,127.72308,37.87707,춘천,1011,494,약사명동
250001203,후평3동우체국,127.75268,37.87244,춘천,1012,95,후평1동
250001204,부안주유소,127.75247,37.87243,춘천,1013,94,후평2동
250001205,후평중학교,127.74838,37.87733,춘천,1014,77,후평2동
250001206,주공7단지,127.75105,37.87554,춘천,1015,48,후평2동
250001207,주공7단지,127.75116,37.87572,춘천,1016,48,후평2동
250001208,주공6단지,127.74887,37.87433,춘천,1017,48,후평2동
250001209,주공6단지,127.74837,37.87422,춘천,1018,48,효자3동
250001210,주공5단지,127.74691,37.87346,춘천,1019,48,효자3동
250001211,후평동종점,127.74863,37.89293,춘천,1020,554,후평1동
250001212,후평동종점,127.74874,37.89376,춘천,1021,553,후평1동
250001213,후평주공4단지후문,127.75763,37.87492,춘천,1022,146,후평3동
250001214,후평주공4단지 후문,127.75778,37.87495,춘천,1023,124,후평3동
250001215,후평주공4단지,127.75696,37.87624,춘천,1024,151,후평3동
250001216,대우아파트,127.75709,37.87624,춘천,1025,151,후평3동
250001217,후평3동주민센터,127.75371,37.87624,춘천,1026,103,후평3동
250001218,후평3동주민센터,127.7548,37.87646,춘천,1027,102,후평3동
250001219,후동리,127.6221,37.7462,춘천,1028,10,남면
250001220,후동리,127.62018,37.74805,춘천,1029,10,남면
250001221,후동리,127.62402,37.75749,춘천,1030,10,남면
250001222,소주고개,127.62681,37.7603,춘천,1031,10,남면
250001223,후동리,127.62009,37.74793,춘천,1032,10,남면
250001224,후동리,127.62196,37.74616,춘천,1033,10,남면
250001225,후동2리입구,127.63426,37.74274,춘천,1034,6,남면
250001226,후동2리입구,127.63433,37.74264,춘천,1035,6,남면
250001227,후동2리,127.63075,37.74684,춘천,1036,,남면
250001228,후동,127.61969,37.75097,춘천,1037,9,남면
250001229,중부지구대,127.73832,37.87541,춘천,1038,155,효자2동
250001230,중부지구대,127.73787,37.87579,춘천,1039,127,효자3동
