"연령(5세계급)별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"연령(5세계급)별(1)",춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시,춘천시
"연령(5세계급)별(1)",신북읍,신북읍,신북읍,동면,동면,동면,동산면,동산면,동산면,신동면,신동면,신동면,남면,남면,남면,서면,서면,서면,사북면,사북면,사북면,북산면,북산면,북산면,동내면,동내면,동내면,남산면,남산면,남산면,교동,교동,교동,조운동,조운동,조운동,약사명동,약사명동,약사명동,근화동,근화동,근화동,소양동,소양동,소양동,후평1동,후평1동,후평1동,후평2동,후평2동,후평2동,후평3동,후평3동,후평3동,효자1동,효자1동,효자1동,효자2동,효자2동,효자2동
"연령(5세계급)별(1)",계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"계",7949,3994,3955,19956,9867,10089,1526,813,713,2577,1310,1267,1121,591,530,4039,2060,1979,2645,1293,1352,989,542,447,17781,8855,8926,3663,1935,1728,3794,1972,1822,3201,1575,1626,2742,1326,1416,9142,4639,4503,10534,5139,5395,12580,6186,6394,15651,7434,8217,18198,8635,9563,5030,2549,2481,11927,6221,5706
"0 - 4세",183,95,88,980,489,491,14,3,11,46,19,27,10,6,4,50,22,28,28,14,14,5,3,2,823,431,392,39,22,17,68,41,27,62,36,26,48,18,30,599,303,296,460,216,244,334,167,167,666,328,338,561,283,278,154,75,79,208,104,104
"5 - 9세",222,103,119,1596,824,772,20,13,7,70,39,31,12,8,4,100,62,38,61,32,29,12,6,6,956,490,466,72,48,24,61,39,22,61,26,35,68,38,30,431,232,199,473,252,221,388,212,176,684,357,327,693,352,341,247,135,112,270,149,121
"10 - 14세",230,130,100,1240,643,597,32,19,13,69,27,42,15,10,5,86,52,34,64,37,27,13,4,9,886,446,440,92,50,42,79,52,27,79,41,38,62,33,29,331,178,153,359,201,158,401,199,202,712,375,337,740,383,357,187,103,84,297,147,150
"15 - 19세",312,154,158,1170,605,565,46,24,22,89,51,38,33,16,17,124,66,58,96,57,39,18,8,10,950,499,451,105,49,56,139,70,69,111,62,49,113,69,44,374,207,167,494,257,237,646,341,305,1002,532,470,1124,535,589,282,160,122,493,241,252
"20 - 24세",470,272,198,1092,595,497,68,37,31,156,91,65,27,15,12,150,78,72,118,60,58,24,12,12,1098,552,546,140,78,62,434,235,199,208,102,106,167,93,74,483,270,213,667,352,315,908,450,458,1188,583,605,1316,703,613,316,174,142,1286,692,594
"25 - 29세",413,226,187,821,430,391,72,40,32,109,67,42,27,18,9,140,73,67,84,49,35,25,15,10,1175,596,579,139,73,66,429,246,183,220,120,100,166,91,75,606,326,280,638,335,303,975,499,476,1085,541,544,1101,578,523,267,144,123,1105,705,400
